                           |                      2 degrees                                     6 degrees                                  10.5 degrees                                  15.5 degrees                                    20 degrees                                  24.5 degrees                                    30 degrees                                  35.5 degrees                                    41 degrees                                    48 degrees                                    55 degrees                                    60 degrees                                    65 degrees                                  71.5 degrees                                  77.5 degrees                                  83.5 degrees                                    91 degrees                                    99 degrees                                 106.5 degrees                                   114 degrees                                 121.5 degrees                                 128.5 degrees                                   136 degrees                                   145 degrees                                 155.5 degrees                                 165.5 degrees                                   175 degrees                | Angle-integrated DXS
          290           10 |                 1.8203               0.168287                 1.5947              0.0910145                1.44939              0.0587806                1.19645              0.0441017                1.13033              0.0423608               0.892541               0.030578               0.749489              0.0232967               0.641873              0.0219132               0.542507              0.0173033               0.429146              0.0125248               0.303218              0.0115769               0.238875              0.0122379               0.169788             0.00823595                0.10114             0.00575364              0.0560666             0.00499481              0.0387385             0.00347882              0.0190184             0.00227314             0.00770103             0.00145536             0.00420849             0.00116722             0.00178415            0.000728377            0.000728088            0.000514836            0.000396621            0.000396621            0.000391056            0.000391056             0.00037906             0.00037906                      0                      0                      0                      0                      0                      0 |                2.27528              0.0232766
          300           10 |                1.74251               0.164652                 1.5999              0.0911626                1.40887               0.057953                1.20295              0.0442214               0.993799              0.0397202               0.811877              0.0291635               0.736454              0.0230933               0.567062              0.0205966               0.513809              0.0168394               0.406483              0.0121896               0.315594              0.0118108               0.224455              0.0118628               0.126243             0.00710171               0.075282             0.00496395               0.049392             0.00468809              0.0334275             0.00323156              0.0179317             0.00220724             0.00550073                0.00123             0.00291357             0.00097119            0.000892076             0.00051504                      0                      0            0.000396621            0.000396621                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                 2.1205               0.022471
          310           10 |                1.47802               0.151642                1.63626              0.0921927                1.33497              0.0564127                1.20945              0.0443408               0.969986              0.0392414               0.803496              0.0290126               0.657523              0.0218207               0.585765              0.0209335               0.488422              0.0164181               0.376143              0.0117259               0.279349              0.0111119               0.185583              0.0107868               0.126243             0.00710171              0.0684084             0.00473191              0.0418275             0.00431418              0.0224933             0.00265086              0.0124978              0.0018427             0.00440059             0.00110015             0.00161865            0.000723882            0.000892076             0.00051504                      0                      0            0.000396621            0.000396621            0.000391056            0.000391056                      0                      0                      0                      0                      0                      0                      0                      0 |                1.99739              0.0218089
          320           10 |                1.64916               0.160181                1.37654              0.0845599                1.44463              0.0586839                1.10216              0.0423284               0.987449              0.0395931               0.862161               0.030053               0.679971                0.02219               0.528161              0.0198776               0.454205              0.0158326               0.351651              0.0113377               0.242663              0.0103566               0.174924              0.0104724               0.102273             0.00639204              0.0625168             0.00452356              0.0387127             0.00415044               0.026867             0.00289714              0.0119544              0.0018022             0.00412555             0.00106521             0.00161865            0.000723882             0.00178415            0.000728377            0.000364044            0.000364044            0.000396621            0.000396621                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.91691               0.021365
          330           10 |                1.54025               0.154801                1.42848              0.0861406                1.36119               0.056964                1.12005              0.0426704               0.981099              0.0394656               0.776259              0.0285166               0.644488              0.0216033               0.478038              0.0189109               0.425507              0.0153243               0.337395              0.0111055               0.226308              0.0100015                0.14483             0.00952909               0.103871             0.00644178              0.0536793             0.00419165              0.0253635             0.00335948              0.0209313             0.00255716             0.00597722             0.00127435             0.00247533             0.00082511             0.00226611            0.000856509            0.000297359            0.000297359            0.000364044            0.000364044                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.79713              0.0206867
          340           10 |                1.60249               0.157898                1.68301              0.0935005                1.43509              0.0584899                1.11842              0.0426394               0.982686              0.0394975               0.808734               0.029107               0.619867              0.0211866               0.460083              0.0185524               0.369214              0.0142746               0.321311              0.0108376               0.209512              0.0096232                0.13229             0.00910724              0.0822975             0.00573394              0.0530247             0.00416601              0.0240286             0.00326987              0.0143707             0.00211885             0.00950922             0.00160735              0.0030254            0.000912194             0.00032373             0.00032373            0.000297359            0.000297359            0.000728088            0.000514836                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.74546              0.0203872
          350           10 |                1.91365               0.172548                1.58431              0.0907176                1.42794               0.058344                1.15581              0.0433463               0.904897               0.037902               0.755308              0.0281291               0.590902              0.0206857               0.454099              0.0184313               0.406742              0.0149826               0.292068              0.0103326               0.168847             0.00863897               0.104077             0.00807792              0.0854935             0.00584421              0.0441873             0.00380303              0.0226936             0.00317775              0.0140583             0.00209569             0.00570553             0.00124505             0.00220029            0.000777921             0.00194238            0.000792973            0.000297359            0.000297359                      0                      0            0.000396621            0.000396621                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.67116              0.0199486
          360           10 |                1.97588               0.175331                1.67262              0.0932115                1.44939              0.0587806                1.08266              0.0419521               0.874734              0.0372649               0.735404               0.027756               0.570626              0.0203277               0.454099              0.0184313                0.35928              0.0140813                 0.2493             0.00954617               0.167079             0.00859362               0.106585             0.00817466              0.0663174             0.00514723              0.0317494             0.00322366              0.0218037             0.00311481              0.0118715             0.00192581             0.00271692            0.000859165             0.00165022              0.0006737             0.00097119            0.000560717            0.000297359            0.000297359                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.57686              0.0193776
          370           10 |                1.60249               0.157898                1.66223              0.0929215                1.35404              0.0568142                 1.0534              0.0413813               0.893784              0.0376685               0.670453               0.026502               0.540211              0.0197785               0.391258              0.0171085               0.364247              0.0141783                0.23943              0.0093553               0.142327             0.00793156              0.0808789             0.00712099              0.0595258             0.00487655              0.0389502             0.00357056               0.016019             0.00266984             0.00687295             0.00146532              0.0032603            0.000941169             0.00192526            0.000727679             0.00032373             0.00032373                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.48185              0.0187847
          380           10 |                1.85141               0.169719                 1.5947              0.0910145                1.31113              0.0559067                1.14606               0.043163               0.873146              0.0372311               0.691405              0.0269129               0.538039              0.0197387               0.383777              0.0169442               0.307954              0.0130367               0.239064             0.00934816               0.137023             0.00778236              0.0915373             0.00757568              0.0523348             0.00457251              0.0301128             0.00313948              0.0146841             0.00255618             0.00749776             0.00153047               0.003532            0.000979599             0.00137518            0.000615001             0.00032373             0.00032373                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                 1.4559              0.0186195
          390           10 |                1.69583               0.162431                1.46484                0.08723                1.31828               0.056059                1.02901              0.0408996               0.847746              0.0366855               0.627502              0.0256391               0.496763              0.0189665               0.380036              0.0168614               0.311266              0.0131066               0.203607              0.0086271               0.122436             0.00735648               0.077744             0.00698162              0.0471413             0.00433971              0.0232392             0.00275799              0.0120143             0.00231215             0.00562332             0.00132543             0.00108677            0.000543384             0.00110015            0.000550073             0.00064746            0.000457823            0.000594717            0.000420529                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.35064              0.0179338
          400           10 |                1.83586               0.169004                1.44926              0.0867648                1.38503              0.0574607                1.03064              0.0409318               0.773131              0.0350339               0.661025               0.026315               0.478659              0.0186177               0.364326              0.0165092               0.283119                 0.0125               0.200317             0.00855712               0.102988             0.00674696              0.0708474             0.00666476              0.0383522             0.00391431              0.0202934             0.00257727               0.016909               0.002743             0.00562332             0.00132543             0.00244523            0.000815076             0.00082511            0.000476378                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.31231              0.0176775
          410           10 |                2.13146               0.182103                 1.5012               0.088306                1.39218              0.0576088                1.03226              0.0409641               0.730268              0.0340489               0.613884              0.0253593               0.441728               0.017885               0.386021              0.0169936               0.241728              0.0115502               0.188254             0.00829547              0.0919377             0.00637473              0.0558001              0.0059148              0.0423472             0.00411313              0.0206207             0.00259797             0.00845449             0.00193959             0.00249925             0.00088362             0.00271692            0.000859165             0.00082511            0.000476378                      0                      0                      0                      0            0.000364044            0.000364044                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.25659              0.0172981
          420           10 |                2.02255                0.17739                 1.5064              0.0884587                1.31113              0.0559067                1.01926              0.0407053               0.717567              0.0337515               0.549981              0.0240032               0.446797              0.0179874               0.338143              0.0159049               0.258284              0.0119392               0.168515             0.00784852              0.0800035             0.00594661              0.0507844             0.00564271              0.0331587             0.00363964              0.0147291             0.00219568             0.00622963             0.00166494             0.00406129              0.0011264             0.00135846            0.000607522            0.000550073            0.000388961                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.18967              0.0168312
          430           10 |                1.68028               0.161685                1.71937              0.0945051                1.33973              0.0565133                1.05177              0.0413494               0.774719              0.0350699               0.561505              0.0242533               0.435211              0.0177526               0.280539               0.014487               0.235657              0.0114042               0.149507             0.00739263              0.0760254             0.00579688              0.0539192             0.00581426              0.0279652             0.00334248              0.0137471             0.00212123             0.00711957             0.00177989              0.0043737             0.00116892            0.000815076            0.000470584                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.16372              0.0166466
          440           10 |                1.75807               0.165385                1.61548              0.0916055                1.38264              0.0574112                1.00788              0.0404774               0.782657              0.0352491               0.578266              0.0246126               0.388865              0.0167808               0.296997              0.0149059               0.234553              0.0113775               0.146582             0.00731997              0.0658592              0.0053954              0.0351102              0.0046918              0.0259676             0.00322089              0.0111286             0.00190855             0.00444973             0.00140713              0.0046861             0.00120995             0.00163015            0.000665507            0.000275037            0.000275037                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.13467              0.0164375
          450           10 |                1.58693               0.157129                1.49601              0.0881531                1.33258              0.0563623                1.01926              0.0407053               0.790594              0.0354274               0.570933              0.0244561               0.385969              0.0167182               0.293256              0.0148117               0.200336              0.0105149                0.12136             0.00666049              0.0503889             0.00471936              0.0426338             0.00517011              0.0255681             0.00319602             0.00949208             0.00176263             0.00355979             0.00125857             0.00187444            0.000765237             0.00108677            0.000543384                      0                      0             0.00032373             0.00032373                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.07942              0.0160324
          460           10 |                1.57137               0.156357                1.66743              0.0930666                1.32782              0.0562613               0.975367              0.0398192               0.684229              0.0329582               0.560457              0.0242307               0.395383              0.0169208               0.264829              0.0140755               0.197576              0.0104422               0.116242             0.00651855              0.0609971             0.00519242              0.0369911             0.00481583              0.0199751             0.00282491             0.00818283             0.00163657             0.00489471             0.00147581             0.00249925             0.00088362            0.000815076            0.000470584                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.05132              0.0158223
          470           10 |                1.60249               0.157898                1.68301              0.0935005                 1.2706              0.0550359               0.985121              0.0400178               0.652478              0.0321844               0.503888              0.0229753               0.389589              0.0167964               0.282783              0.0145448               0.188746              0.0102062               0.114049             0.00645676               0.050831             0.00474001              0.0319754             0.00447745              0.0171786             0.00261971             0.00720089             0.00153523             0.00177989            0.000889947             0.00218685            0.000826551            0.000271692            0.000271692                      0                      0             0.00032373             0.00032373                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                1.01727               0.015564
          480           10 |                2.06923               0.179425                1.63106              0.0920463                1.20385              0.0535708               0.814431              0.0363861               0.708042              0.0335268               0.516459              0.0232601               0.375107              0.0164812               0.250615              0.0136925                0.16943             0.00966988               0.104545             0.00618187              0.0468529             0.00455075              0.0282136             0.00420583              0.0155806             0.00249489             0.00687357             0.00149994             0.00355979             0.00125857            0.000937221            0.000541105            0.000271692            0.000271692                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.967026              0.0151747
          490           10 |                1.80474               0.167566                 1.5064              0.0884587                1.19432              0.0533582               0.947731               0.039251               0.604852              0.0309875               0.479793              0.0224193               0.333106              0.0155312                0.23266              0.0131929               0.157288             0.00931697              0.0928476             0.00582578              0.0411068             0.00426257              0.0288405              0.0042523              0.0151811              0.0024627             0.00720089             0.00153523             0.00133492            0.000770717             0.00156203            0.000698563            0.000543384             0.00038423                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.916305              0.0147714
          500           10 |                1.80474               0.167566                1.65704              0.0927762                1.28252              0.0552934               0.965613              0.0396196               0.628665              0.0315916               0.460937              0.0219743               0.330934              0.0154804               0.222187              0.0128926               0.162807             0.00947901              0.0844402             0.00555576              0.0459689             0.00450762              0.0219439             0.00370919              0.0111861             0.00211397             0.00458238             0.00122469             0.00311481             0.00117729            0.000937221            0.000541105            0.000271692            0.000271692                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.922734              0.0148232
          510           10 |                1.72695               0.163915                 1.5012               0.088306                1.27299              0.0550875               0.859948              0.0373891               0.646128              0.0320274               0.490269              0.0226627               0.320796              0.0152415               0.218446              0.0127836                0.15784              0.0093333              0.0749361             0.00523376              0.0380127             0.00409902              0.0144203             0.00300683              0.0107866             0.00207587             0.00523701             0.00130925                      0                      0            0.000312407            0.000312407                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.885111              0.0145178
          520           10 |                1.50914                0.15323                1.44926              0.0867648                 1.2563              0.0547253               0.885958              0.0379503               0.611202              0.0311498               0.460937              0.0219743               0.299071              0.0147163               0.209469              0.0125182               0.146251             0.00898411              0.0738395             0.00519533              0.0318246             0.00375056              0.0137933             0.00294074             0.00878905             0.00187383              0.0026185            0.000925781            0.000444973            0.000444973            0.000312407            0.000312407                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.847487              0.0142059
          530           10 |                1.47802               0.151642                1.58431              0.0907176                1.22054              0.0539408               0.858323              0.0373537               0.641366              0.0319091               0.426366              0.0211342               0.276623              0.0141533               0.202736              0.0123153               0.137972             0.00872614              0.0687219             0.00501206              0.0269625              0.0034522              0.0181821             0.00337633             0.00918855             0.00191595             0.00196388             0.00080175             0.00222487            0.000994991            0.000312407            0.000312407            0.000271692            0.000271692                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.825818              0.0140231
          540           10 |                 1.6336               0.159423                1.47004              0.0873845                1.36119               0.056964               0.833939              0.0368193               0.608027              0.0310687               0.394939              0.0203404               0.272278              0.0140417               0.200492               0.012247                0.13135             0.00851413              0.0628732             0.00479404              0.0234264             0.00321787              0.0144203             0.00300683             0.00599253             0.00154727              0.0026185            0.000925781            0.000444973            0.000444973            0.000624814             0.00044181            0.000543384             0.00038423                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.807244              0.0138645
          550           10 |                2.03811               0.178071                1.53756              0.0893691                1.23961              0.0543606               0.794924              0.0359477               0.546113              0.0294445               0.362464              0.0194862               0.263588              0.0138158                0.15785              0.0108668               0.120864             0.00816722              0.0537347             0.00443196              0.0212164             0.00306232              0.0125394             0.00280389             0.00918855             0.00191595            0.000327313            0.000327313                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.752237              0.0133838
          560           10 |                1.96032               0.174639                 1.6882              0.0936447                1.25153              0.0546213               0.804678              0.0361676               0.519125              0.0287077               0.415891               0.020873                0.27083              0.0140043               0.184781              0.0117574                0.10817             0.00772645              0.0449617             0.00405406              0.0203324             0.00299785             0.00752362             0.00217188             0.00878905             0.00187383             0.00425507             0.00118014            0.000444973            0.000444973            0.000312407            0.000312407                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.769144              0.0135334
          570           10 |                1.88253               0.171139                 1.5999              0.0911626                1.23484               0.054256               0.822559              0.0365672               0.573101              0.0301632               0.354083              0.0192596                0.27083              0.0140043               0.175056              0.0114438               0.121968             0.00820443              0.0456927             0.00408688              0.0163543             0.00268863             0.00626968             0.00198265             0.00559303              0.0014948             0.00163657            0.000731894            0.000889947            0.000629287            0.000312407            0.000312407                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.756047              0.0134177
          580           10 |                1.69583               0.162431                1.43367               0.086297                1.13234              0.0519552               0.780293              0.0356154               0.577864              0.0302883               0.384463              0.0200688               0.243312              0.0132738                0.17356              0.0113948              0.0789202             0.00659964              0.0383819             0.00374569              0.0159123             0.00265205             0.00501574             0.00177333             0.00439452               0.001325            0.000327313            0.000327313                      0                      0            0.000312407            0.000312407                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |                0.70104              0.0129203
          590           10 |                1.74251               0.164652                1.61548              0.0916055                1.18717              0.0531982               0.913594              0.0385376               0.554051              0.0296577               0.361416               0.019458               0.249106              0.0134309               0.148873              0.0105533               0.084991             0.00684877              0.0321677             0.00342909              0.0110502             0.00221004             0.00564271              0.0018809             0.00359552             0.00119851             0.00163657            0.000731894                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.716756              0.0130644
          600           10 |                1.97588               0.175331                1.64145               0.092339                1.21339              0.0537826               0.822559              0.0365672               0.517538              0.0286638               0.379225              0.0199316               0.242588               0.013254                0.13017             0.00986816              0.0877504             0.00695906              0.0336299             0.00350615             0.00928217             0.00202554             0.00564271              0.0018809             0.00279652             0.00105698            0.000654626             0.00046289                      0                      0                      0                      0            0.000271692            0.000271692                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.701516              0.0129247
          610           10 |                1.97588               0.175331                1.71937              0.0945051                1.22054              0.0539408               0.788422              0.0358004               0.539763              0.0292728               0.353036              0.0192311               0.228105              0.0128523               0.137651              0.0101478              0.0772645             0.00653004              0.0274156             0.00316569             0.00884017             0.00197672             0.00501574             0.00177333             0.00239701            0.000978577             0.00163657            0.000731894            0.000444973            0.000444973                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.687229              0.0127924
          620           10 |                2.03811               0.178071                1.52198               0.088915                1.27537              0.0551391               0.798175              0.0360211               0.539763              0.0292728               0.321608              0.0183551               0.225933              0.0127909               0.136155              0.0100925              0.0717456             0.00629251              0.0288778             0.00324901              0.0119342             0.00229674             0.00501574             0.00177333             0.00239701            0.000978577             0.00130925            0.000654626            0.000444973            0.000444973                      0                      0            0.000271692            0.000271692                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.677942              0.0127057
          630           10 |                1.86697               0.170431                 1.5999              0.0911626                 1.1681              0.0527692               0.767289              0.0353173               0.563576              0.0299115               0.317418              0.0182352               0.200588              0.0120522               0.125681             0.00969653              0.0684343             0.00614558              0.0219325             0.00283148             0.00618812             0.00165384             0.00564271              0.0018809             0.00239701            0.000978577             0.00163657            0.000731894                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0                      0 |               0.645557              0.0123985
